city_ta,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
Isla Mujeres,10,Casa del Jaguar Beach Hotel,,4.0,5.0,0.0,153,0,0,0,0,0,0,0,0,0,0,91.0,7545,7.7,8.4,5,32,1,2,1,6,1,8,0,0,1,1,1,5
Isla Mujeres,302,Hotel Plaza Almendros,,4.0,4.0,3.0,154,0,0,1,1,1,2,1,1,1,2,229.0,1116,7.6,7.5,3,16,0,0,1,4,1,6,0,0,0,0,1,3
Isla Mujeres,520,Rocamar Hotel Isla Mujeres,,4.5,4.0,2.5,155,1,2,1,1,1,2,0,0,1,1,299.0,1594,7.6,7.6,2,58,1,1,1,3,1,6,0,0,1,1,0,0
Isla Mujeres,697,Hotel Posada del Mar,,4.0,3.5,3.0,157,1,1,1,2,1,3,0,0,0,0,529.0,2344,6.9,7.0,3,47,1,1,1,1,1,6,1,1,1,2,1,1
Isla Mujeres,4,Imperla Hotel,,0.0,4.5,0.0,161,0,0,0,0,0,0,0,0,0,0,210.0,1985,9.1,9.2,3,13,0,0,1,3,1,6,0,0,0,0,1,1
Loreto,2205,Villa del Palmar at the Islands of Loreto,,4.5,4.5,4.0,1,1,3,1,2,1,3,1,2,1,3,44.0,4974,7.0,7.9,5,8,1,2,1,10,1,34,1,2,1,7,1,13
Loreto,587,Hotel Santa Fe Loreto by Villa Group,1679.0,4.5,4.5,3.0,2,0,0,1,1,1,2,1,3,1,4,279.0,1837,8.1,8.4,4,5,1,1,1,5,1,10,1,2,1,3,1,2
Loreto,219,Hotel Oasis,2521.0,3.5,3.5,3.0,3,1,2,1,2,1,3,1,2,1,2,384.0,2534,8.0,8.4,4,7,1,3,1,7,1,13,1,5,1,3,1,8
Loreto,814,Loreto Bay Golf Resort & Spa at Baja,1940.0,4.0,3.5,4.5,4,1,3,1,2,1,4,1,2,1,1,670.0,1940,7.5,7.8,5,9,1,3,1,6,1,12,1,6,1,1,1,2
Loreto,1,Hotel Duve Coral,,0.0,4.0,0.0,10,0,0,1,2,0,0,0,0,1,1,3.0,558,8.3,8.0,0,4,0,0,1,1,1,4,0,0,0,0,0,0
Loreto,142,Posada del Cortes,2389.0,4.5,4.5,2.0,24,0,0,1,3,1,1,1,1,1,1,157.0,1719,9.0,9.1,3,6,0,0,1,6,1,18,0,0,1,2,1,5
Loreto,60,Hotel Angra,1016.0,4.5,4.5,2.5,26,0,0,1,2,0,0,0,0,1,1,232.0,1233,8.8,8.9,3,2,1,1,1,1,1,3,0,0,0,0,0,0
Loreto,77,Hotel 1697 Loreto,2319.0,4.5,4.5,3.0,29,0,0,1,2,1,1,0,0,1,2,254.0,2330,8.8,8.9,0,10,0,0,1,1,1,8,0,0,0,0,1,3
Loreto,1,Cabañas Rústicas El Benny By Rotamundos,,0.0,5.0,0.0,37,0,0,0,0,0,0,0,0,0,0,21.0,836,8.7,9.0,0,21,0,0,0,0,1,2,0,0,1,1,0,0
Loreto,181,Posada de las Flores Loreto,2480.0,3.5,4.0,4.0,42,1,2,1,1,1,1,0,0,1,2,103.0,2492,8.1,8.2,4,11,1,1,1,8,1,10,0,0,0,0,1,2
Loreto,34,Bugambilias Suites,1507.0,5.0,5.0,2.5,43,0,0,1,2,0,0,1,1,1,2,149.0,1514,9.6,9.7,0,13,0,0,1,2,1,6,1,1,1,1,1,2
Loreto,68,Sukasa Bungalows,,4.5,4.5,0.0,45,1,1,1,2,0,0,1,1,1,3,164.0,1873,8.8,8.8,0,3,1,2,1,2,1,5,0,0,0,0,1,3
Loreto,12,Hotel y R.V. Park El Moro,,4.5,3.0,0.0,46,0,0,1,1,0,0,1,1,1,1,170.0,877,7.3,7.2,0,20,0,0,1,1,1,4,1,1,1,2,0,0
Loreto,97,Hacienda Suites Loreto,1720.0,4.0,3.5,3.0,48,0,0,1,2,1,1,1,1,1,1,133.0,1835,8.0,8.3,3,12,0,0,1,3,1,2,0,0,1,1,1,1
Mazunte,168,OceanoMar,,5.0,5.0,4.0,39,1,2,1,1,1,2,1,1,1,1,78.0,2400,9.3,9.2,4,3,0,0,1,2,0,0,0,0,0,0,0,0
Mazunte,5,Posada Las Tortuguitas,,0.0,3.0,0.0,55,0,0,1,2,0,0,1,1,1,2,22.0,2100,9.0,9.0,2,9,1,1,0,0,1,1,0,0,0,0,1,1
Mazunte,25,Cabañas Telayú,840.0,4.0,3.5,0.0,62,0,0,0,0,1,2,1,1,0,0,320.0,1000,8.4,8.4,0,14,0,0,0,0,0,0,0,0,1,1,1,1
Mazunte,8,Cabañas Abril,,4.0,3.5,0.0,63,0,0,0,0,0,0,0,0,0,0,411.0,482,6.1,5.9,2,11,0,0,0,0,0,0,1,1,0,0,0,0
Mazunte,66,Una Posada Mas,,5.0,5.0,0.0,64,0,0,1,2,0,0,1,1,0,0,10.0,1490,9.2,8.8,0,17,0,0,1,2,1,1,0,0,1,1,1,1
Mazunte,19,Villa Luna de Miel,,5.0,4.0,3.0,67,1,1,1,2,0,0,1,1,1,3,161.0,719,8.8,8.9,2,15,1,1,1,1,0,0,0,0,0,0,1,1
Mazunte,24,Casa Mazunte Tierra Viva,785.0,5.0,4.5,2.0,73,1,1,1,1,0,0,1,2,1,4,502.0,1160,8.9,9.1,0,2,1,1,1,1,1,7,1,3,1,1,1,5
